XH,Pts_D,Pct_D,Avg1_D,Avg2_D,Tot_D,TO_D,Pts_O,Pct_O,Avg1_O,Avg2_O,Tot_O,TO_O,classifyRes,markRes,recomRes,RankScore,Abs,Rel,trueRank,countRecom,tsne,LDA
Ole Miss,0.0,0.5741626794258375,0.20000000000000004,0.2413793103448276,0.2625,0.7499999999999999,0.463611859838275,0.5906976744186047,0.5178571428571429,0.6190476190476192,0.3860759493670885,0.5714285714285715,0,-1,-1,1.94925984,108,,105,0,"[0.40975380862196215, 0.11003270845947052]","[0.33361492708836105, 0.5561041500212215]"
Stanford,0.014652014652014603,0.444976076555024,0.08571428571428577,0.06896551724137936,0.1625000000000001,0.2083333333333333,0.4339622641509434,0.8139534883720929,0.5357142857142857,0.5952380952380955,0.3924050632911392,0.4285714285714287,0,-1,-1,1.06290789,125,,125,0,"[0.5202550948251046, 0.008058855043058259]","[0.1144778942218629, 0.3622089394335106]"
Clemson,0.02564102564102562,0.11004784688995206,0.0571428571428572,0.0,0.0,0.4583333333333333,0.5309973045822103,0.7953488372093026,0.3928571428571429,0.4761904761904764,0.3924050632911392,0.33333333333333337,0,-1,-1,0.68301204,127,,127,0,"[0.4839167057239032, 0.0]","[0.0, 0.273394292200146]"
LSU,0.05494505494505495,0.19138755980861247,0.42857142857142855,0.31034482758620696,0.08125000000000004,0.3333333333333333,0.44474393530997297,0.12093023255813964,0.6071428571428571,0.5238095238095238,0.3734177215189872,0.2857142857142858,0,-1,-1,1.4199091,122,,121,0,"[0.43164311756584595, 0.24174724104752943]","[0.2323826802405922, 0.4087466888089086]"
Temple,0.05494505494505495,0.5263157894736844,0.2857142857142857,0.2758620689655171,0.325,0.7499999999999999,0.3234501347708895,0.25581395348837216,0.3928571428571429,0.33333333333333337,0.06329113924050632,0.7619047619047621,0,-1,-1,2.06083565,104,,90,0,"[0.2008418765603072, 0.21917713792630802]","[0.3815479620248984, 0.5146534871443297]"
Alabama,0.08791208791208786,0.3205741626794258,0.1142857142857144,0.31034482758620696,0.15625,0.29166666666666663,0.6954177897574123,0.7767441860465116,0.6785714285714285,0.7857142857142859,0.6329113924050632,0.4285714285714287,0,0,-1,1.39208841,123,,123,0,"[0.7526796799351116, 0.14958240856515512]","[0.14940932536400528, 0.6239425371013405]"
Penn State,0.0952380952380953,0.2535885167464115,0.0285714285714286,0.1034482758620689,0.025000000000000026,0.375,0.2560646900269542,0.3674418604651163,0.28571428571428564,0.2857142857142857,0.3101265822784809,0.6190476190476192,0,-1,-1,0.85887624,126,,126,0,"[0.20710368687694927, 0.11930358144083464]","[0.06961199162826956, 0.3150400253957808]"
Texas Christian,0.1098901098901099,0.03827751196172237,0.0,0.2413793103448276,0.1625000000000001,1.0,0.954177897574124,0.6418604651162791,0.7142857142857142,0.7857142857142859,0.7088607594936708,0.4761904761904763,0,-1,-1,1.46355418,120,,119,0,"[0.8122126786491302, 0.05305535740247479]","[0.1192422297579705, 0.7331014226008944]"
Arkansas,0.1172161172161172,0.3684210526315789,0.20000000000000004,0.379310344827586,0.1937500000000001,0.4583333333333333,0.5606469002695417,0.36279069767441857,0.6785714285714285,0.5714285714285715,0.4999999999999999,0.2857142857142858,0,-1,-1,1.7484456,114,,116,0,"[0.4751390841750718, 0.22218589783855783]","[0.27690241912261354, 0.3740910604331404]"
UCF,0.1172161172161172,0.3540669856459331,0.1142857142857144,0.17241379310344826,0.1937500000000001,0.625,0.4582210242587601,0.3906976744186047,0.3392857142857143,0.3809523809523809,0.3924050632911392,0.7142857142857145,0,-1,-1,1.50162088,118,,118,0,"[0.26455620833404525, 0.14807799802722918]","[0.2193869155945478, 0.5346315792038179]"
Memphis,0.12820512820512822,0.27272727272727265,0.17142857142857146,0.2413793103448276,0.2875000000000001,0.7083333333333333,0.6765498652291105,0.7023255813953492,0.5178571428571429,0.5000000000000001,0.5253164556962026,0.3809523809523809,0,-1,-1,1.79332914,113,,111,0,"[0.4971386332562488, 0.08827115757560448]","[0.26242151987521684, 0.3340170665698872]"
Utah State,0.13553113553113552,0.30622009569377995,0.14285714285714285,0.2758620689655171,0.3062500000000001,0.5833333333333333,0.4258760107816711,0.6930232558139536,0.6428571428571429,0.5952380952380955,0.19620253164556947,0.3809523809523809,0,-1,-1,1.70766687,115,,114,0,"[0.4695456888842235, 0.10441678884605873]","[0.22495911946517094, 0.21235143036214885]"
San Diego State,0.13919413919413925,0.3875598086124401,0.2857142857142857,0.31034482758620696,0.23750000000000004,0.5416666666666666,0.3746630727762803,0.2232558139534883,0.7321428571428572,0.5952380952380955,0.3227848101265821,0.4761904761904763,0,-1,-1,1.84068082,110,,109,0,"[0.41123687524237057, 0.21708989942440768]","[0.298653271546187, 0.4792608568073027]"
Virginia Tech,0.15384615384615385,0.0,0.31428571428571433,0.379310344827586,0.15000000000000013,0.4166666666666666,0.3504043126684637,0.5488372093023256,0.4464285714285714,0.3571428571428573,0.3670886075949367,0.6190476190476192,0,-1,-1,1.42773783,121,,120,0,"[0.26288161546118866, 0.07660802320889579]","[0.15418524483160645, 0.33258498244942497]"
Houston,0.16849816849816854,0.3875598086124401,0.25714285714285723,0.31034482758620696,0.3062500000000001,0.6666666666666665,0.5040431266846361,0.5953488372093024,0.6249999999999999,0.5476190476190478,0.4873417721518986,0.4761904761904763,0,0,-1,2.06948666,103,,101,0,"[0.46666578679178894, 0.13050477770302907]","[0.3301464988444978, 0.41714155971372635]"
Georgia,0.17216117216117216,0.29186602870813383,0.3714285714285714,0.2758620689655171,0.325,0.625,0.8140161725067384,0.92093023255814,0.857142857142857,0.8095238095238096,0.5443037974683542,0.1428571428571429,0,0,-1,2.1221261,100,,103,0,"[0.9093224653098245, 0.16986899918548432]","[0.3177906340841077, 0.449354891840353]"
Wisconsin,0.17582417582417587,0.062200956937798924,0.22857142857142865,0.31034482758620696,0.03125,0.2083333333333333,0.6334231805929919,0.34418604651162793,1.0,0.8095238095238096,0.4873417721518986,0.5714285714285715,0,-1,-1,1.08369972,124,,124,0,"[0.6464535534684787, 0.1257188787512937]","[0.04624075874600644, 0.9161827114744727]"
Marshall,0.1831501831501832,0.3253588516746411,0.2857142857142857,0.2413793103448276,0.45625,0.375,0.9299191374663072,0.530232558139535,0.9821428571428572,1.0,0.7468354430379747,0.4761904761904763,0,0,-1,1.9020686,109,,110,0,"[0.8346113345413538, 0.16498820490516186]","[0.2787963924765636, 0.8623984742197348]"
Florida,0.18681318681318687,0.2583732057416268,0.1142857142857144,0.2068965517241378,0.23750000000000004,0.7499999999999999,0.5175202156334232,0.2139534883720932,0.5535714285714286,0.4285714285714287,0.2025316455696202,0.6190476190476192,0,-1,-1,1.61579026,117,,113,0,"[0.2997854776378606, 0.170353965386172]","[0.22378248868012013, 0.5180634171937553]"
Missouri,0.18681318681318687,0.6267942583732057,0.20000000000000004,0.2758620689655171,0.3375000000000001,0.4583333333333333,0.450134770889488,0.2651162790697673,0.5892857142857142,0.4761904761904764,0.3101265822784809,0.19047619047619052,0,-1,-1,2.07986093,102,,102,0,"[0.40578802838831035, 0.30991760773494487]","[0.4022543695114073, 0.15990062077103218]"
Boston College,0.1941391941391942,0.7033492822966508,0.08571428571428577,0.379310344827586,0.1937500000000001,0.16666666666666669,0.4070080862533693,0.3720930232558141,0.6964285714285714,0.5476190476190478,0.3037974683544304,0.1428571428571429,0,-1,-1,1.83349024,111,,115,0,"[0.413964691985305, 0.3292922031759445]","[0.32265809265791795, 0.215199426283725]"
Michigan State,0.2014652014652015,0.2392344497607657,0.1142857142857144,0.379310344827586,0.06875000000000009,0.7916666666666666,0.8598382749326144,0.530232558139535,0.6785714285714285,0.7380952380952382,0.6582278481012657,0.2380952380952381,0,-1,-1,1.81207472,112,,112,0,"[0.8154330889088668, 0.0750674344003548]","[0.23752232873083282, 0.6328591044111568]"
Mississippi State,0.2087912087912088,0.22009569377990407,0.4000000000000001,0.5517241379310343,0.4000000000000001,0.4583333333333333,0.6954177897574123,0.6558139534883723,0.6964285714285714,0.7857142857142859,0.721518987341772,0.523809523809524,0,-1,-1,2.29853684,90,,89,0,"[0.7984515037692578, 0.2785087677717727]","[0.35518293342096663, 0.6073662982807908]"
Duke,0.2124542124542125,0.3875598086124401,0.4571428571428573,0.4482758620689654,0.48125,0.375,0.5741239892183287,0.43255813953488376,0.6249999999999999,0.4761904761904764,0.4873417721518986,0.2380952380952381,1,-1,-1,2.41648408,83,,84,0,"[0.5394235612280884, 0.43688806198417296]","[0.45843035298662443, 0.16377393314490812]"
Louisville,0.2124542124542125,0.2966507177033492,0.14285714285714285,0.2758620689655171,0.06875000000000009,0.6666666666666665,0.5417789757412399,0.36279069767441857,0.4107142857142856,0.5000000000000001,0.3860759493670885,0.6190476190476192,0,-1,-1,1.61922276,116,,117,0,"[0.3095763023913055, 0.14491489176519562]","[0.2189970825804703, 0.680191523714908]"
Ohio State,0.2197802197802198,0.3875598086124401,0.31428571428571433,0.3448275862068965,0.29375,0.625,0.9083557951482478,0.7441860465116281,0.7857142857142857,0.8571428571428573,0.721518987341772,0.4761904761904763,0,-1,-1,2.23905186,95,,95,0,"[0.8558639448794539, 0.17764148624372483]","[0.34249157467933206, 0.8969739719316688]"
Michigan,0.2344322344322344,0.5789473684210525,0.1142857142857144,0.2758620689655171,0.15000000000000013,0.0416666666666667,0.2641509433962264,0.4837209302325582,0.5892857142857142,0.4523809523809525,0.2658227848101265,0.7142857142857145,0,0,-1,1.49094885,119,,122,0,"[0.0869075607204893, 0.2546053592893719]","[0.20339439178580826, 0.5954839763699714]"
Akron,0.2600732600732601,0.3971291866028708,0.3428571428571429,0.4482758620689654,0.4437500000000001,0.5416666666666666,0.30997304582210244,0.2837209302325583,0.5,0.3809523809523809,0.4683544303797467,0.7142857142857145,1,-1,1,2.37609266,87,,80,1,"[0.22014145455117157, 0.3809594526297994]","[0.423142770248017, 0.3667710573850661]"
Kansas State,0.2637362637362637,0.6937799043062204,0.3714285714285714,0.5172413793103448,0.375,0.375,0.6657681940700807,0.8232558139534885,0.4285714285714286,0.6666666666666669,0.5253164556962026,0.1428571428571429,1,-1,-1,2.75098124,62,,69,0,"[0.8790127111567555, 0.5317646534840348]","[0.5303882342593081, 0.31157542928185056]"
Oregon,0.27838827838827845,0.6076555023923446,0.4000000000000001,0.5172413793103448,0.5687500000000001,0.6666666666666665,0.9245283018867924,0.9860465116279072,0.75,0.9285714285714288,0.810126582278481,0.0,1,-1,-1,3.14883723,42,,43,0,"[0.9736488728342417, 0.34887409735520636]","[0.5872010230279653, 0.3290940698025427]"
Texas,0.2857142857142857,0.5358851674641149,0.31428571428571433,0.2413793103448276,0.3187500000000001,0.4166666666666666,0.27762803234501343,0.48837209302325607,0.4464285714285714,0.3571428571428573,0.2215189873417721,0.5714285714285715,0,0,-1,2.11033739,101,,100,0,"[0.1347149142304449, 0.32133672991125833]","[0.3719393156099599, 0.3420943315601029]"
Virginia,0.2967032967032968,0.3588516746411485,0.17142857142857146,0.379310344827586,0.2875000000000001,0.7083333333333333,0.3962264150943397,0.4558139534883721,0.4285714285714286,0.4047619047619048,0.3924050632911392,0.6190476190476192,0,-1,-1,2.14062636,99,,92,0,"[0.28495133285867835, 0.20829836559234227]","[0.33469280583629546, 0.3777265946367772]"
Air Force,0.30036630036630035,0.3540669856459331,0.31428571428571433,0.5862068965517241,0.3125,0.29166666666666663,0.549865229110512,0.4279069767441861,0.5714285714285714,0.4761904761904764,0.4936708860759494,0.2857142857142858,0,-1,-1,2.26821591,92,,96,0,"[0.5353051499860977, 0.4131110786672182]","[0.3874355230881636, 0.25278091375904865]"
Minnesota,0.30036630036630035,0.4641148325358852,0.5714285714285714,0.4827586206896553,0.33125000000000004,0.6666666666666665,0.4663072776280322,0.11162790697674416,0.6071428571428571,0.4761904761904764,0.2531645569620253,0.3809523809523809,1,-1,-1,2.76739973,61,,54,0,"[0.3147680075175418, 0.418250717311434]","[0.5429736629785936, 0.4864531354967815]"
Tennessee,0.30036630036630035,0.2679425837320573,0.42857142857142855,0.4482758620689654,0.2875000000000001,0.4583333333333333,0.4797843665768193,0.6697674418604652,0.4107142857142856,0.3571428571428573,0.4430379746835443,0.4761904761904763,0,-1,-1,2.26238066,93,,94,0,"[0.5383945850726635, 0.3324441164988021]","[0.3726252145333204, 0.3228527306214995]"
Miami (FL),0.3040293040293041,0.4784688995215313,0.22857142857142865,0.2758620689655171,0.3125,0.4583333333333333,0.4878706199460917,0.48837209302325607,0.7142857142857142,0.7857142857142859,0.3481012658227848,0.523809523809524,0,-1,-1,2.04703153,106,,104,0,"[0.5315707291001325, 0.17026949845173517]","[0.3135166564918402, 0.6313161325331632]"
Syracuse,0.3040293040293041,0.8373205741626798,0.17142857142857146,0.3448275862068965,0.3625,0.4166666666666666,0.1617250673854448,0.2976744186046512,0.5,0.3571428571428573,0.1582278481012658,0.523809523809524,1,-1,-1,2.41607335,84,,79,0,"[0.11886741278010075, 0.37895209379218187]","[0.4676255738543951, 0.2574567388883484]"
Louisiana Tech,0.3186813186813187,0.5645933014354068,0.14285714285714285,0.31034482758620696,0.35625,0.9583333333333331,0.7088948787061994,0.4744186046511628,0.5178571428571429,0.5952380952380955,0.360759493670886,0.5714285714285715,1,-1,-1,2.54373291,76,,61,0,"[0.37678881887744947, 0.07951687237719006]","[0.4357684970759964, 0.6860634734096444]"
Florida International,0.3223443223443224,0.2822966507177034,0.3714285714285714,0.4827586206896553,0.23750000000000004,0.8749999999999998,0.3207547169811321,0.2465116279069767,0.3214285714285714,0.2142857142857143,0.12658227848101264,0.523809523809524,1,1,-1,2.46077126,79,,72,0,"[0.22589481314100632, 0.27289556993865227]","[0.43073819924556794, 0.26399476264331656]"
Ohio,0.3223443223443224,0.5215311004784691,0.2857142857142857,0.5517241379310343,0.39375,0.375,0.25336927223719674,0.29302325581395344,0.5178571428571429,0.4523809523809525,0.3227848101265821,0.5714285714285715,1,-1,-1,2.45323357,80,,78,0,"[0.18618435472653608, 0.4413148464918974]","[0.4388640479925677, 0.29598221788337126]"
Washington,0.3223443223443224,0.7607655502392346,0.14285714285714285,0.4827586206896553,0.5250000000000001,0.5833333333333333,0.5148247978436657,0.7534883720930233,0.5357142857142857,0.4761904761904764,0.360759493670886,0.2380952380952381,1,-1,-1,2.85758511,55,,53,0,"[0.5897064495271883, 0.5499941659480453]","[0.5336065753450928, 0.05785360994300428]"
Utah,0.326007326007326,0.5550239234449761,0.2857142857142857,0.4482758620689654,0.4125000000000001,0.375,0.5444743935309974,0.6046511627906979,0.5535714285714286,0.4523809523809525,0.32911392405063283,0.2380952380952381,1,-1,1,2.48767384,78,,81,1,"[0.5499620067981589, 0.4852644458794785]","[0.4513879216066827, 0.17330434740170872]"
Western Michigan,0.326007326007326,0.29186602870813383,0.4000000000000001,0.5172413793103448,0.29375,0.4166666666666666,0.6118598382749325,0.9488372093023258,0.5535714285714286,0.7380952380952382,0.4050632911392404,0.3809523809523809,0,-1,-1,2.36093037,88,,88,0,"[0.7704342947296415, 0.37174439143530974]","[0.3518352655514151, 0.4828639797704791]"
Colorado State,0.3333333333333334,0.3492822966507177,0.6000000000000002,0.5862068965517241,0.51875,0.3333333333333333,0.6145552560646899,0.7627906976744188,0.6249999999999999,0.880952380952381,0.550632911392405,0.2857142857142858,1,1,-1,2.8284941,57,,59,0,"[0.76541982854649, 0.46180127389103814]","[0.5028227512986296, 0.39526766862553]"
Central Michigan,0.33699633699633696,0.5358851674641149,0.2857142857142857,0.4827586206896553,0.3062500000000001,0.4166666666666666,0.4258760107816711,0.7441860465116281,0.4821428571428572,0.5714285714285715,0.4999999999999999,0.6666666666666669,0,-1,1,2.44055915,81,,83,1,"[0.6665895667779163, 0.29805584457056516]","[0.39807949192394526, 0.5861968051722299]"
Northwestern,0.33699633699633696,0.3684210526315789,0.4000000000000001,0.4482758620689654,0.3875,0.6666666666666665,0.3207547169811321,0.4604651162790698,0.3749999999999999,0.261904761904762,0.3797468354430379,0.5714285714285715,1,-1,-1,2.57135899,74,,68,0,"[0.23118180394198268, 0.32621292163052623]","[0.46061142066430955, 0.22226023908591439]"
USC,0.33699633699633696,0.5311004784688995,0.2857142857142857,0.4482758620689654,0.5625,0.4583333333333333,0.6657681940700807,1.0,0.4821428571428572,0.6428571428571429,0.5949367088607593,0.09523809523809527,1,-1,-1,2.74052492,65,,66,0,"[0.9294672347384424, 0.49529032618732466]","[0.4931203747246021, 0.0]"
Baylor,0.347985347985348,0.3301435406698565,0.1142857142857144,0.4482758620689654,0.34375,0.5416666666666666,1.0,0.6790697674418608,0.5714285714285714,0.7619047619047621,1.0,0.1428571428571429,0,-1,-1,2.25004615,94,,99,0,"[0.9162366960275456, 0.23712211062379351]","[0.3554867493564146, 0.4178380167108342]"
Florida State,0.3516483516483517,0.444976076555024,0.4000000000000001,0.5172413793103448,0.4312500000000001,0.4999999999999999,0.6091644204851752,0.7627906976744188,0.5357142857142857,0.7142857142857145,0.550632911392405,0.7619047619047621,1,-1,-1,2.69162107,67,,62,0,"[0.7280785547345777, 0.30704070125782335]","[0.4431757764530485, 0.7907356555217991]"
Iowa,0.3516483516483517,0.2870813397129188,0.4571428571428573,0.4482758620689654,0.1625000000000001,0.2083333333333333,0.4609164420485176,0.6046511627906979,0.5,0.5000000000000001,0.4556962025316455,0.4761904761904763,0,-1,-1,2.05905432,105,,108,0,"[0.5762236970698563, 0.35051022371015594]","[0.31973485117413786, 0.5272919157036627]"
Northern Illinois,0.3516483516483517,0.4976076555023925,0.4000000000000001,0.5172413793103448,0.46875,0.4166666666666666,0.549865229110512,0.5534883720930234,0.6785714285714285,0.5714285714285715,0.5379746835443038,0.09523809523809527,1,-1,-1,2.74417418,64,,60,0,"[0.6046063973519722, 0.4866459099318252]","[0.5122473327751113, 0.08922488409052881]"
Georgia Tech,0.3553113553113553,0.7272727272727274,0.6571428571428571,0.7931034482758619,0.45,0.5833333333333333,0.7223719676549865,0.2139534883720932,0.857142857142857,0.7857142857142859,0.6772151898734177,0.2857142857142858,2,-1,-1,3.64054368,24,,24,0,"[0.0774539531294745, 0.8234100384027908]","[0.743409477364126, 0.7565200072030037]"
East Carolina,0.35897435897435903,0.4354066985645932,0.14285714285714285,0.379310344827586,0.375,0.3333333333333333,0.6657681940700807,0.7209302325581398,0.6249999999999999,0.7380952380952382,0.9367088607594936,0.523809523809524,0,-1,-1,2.14093234,98,,106,0,"[0.8072837892500503, 0.23987334118959414]","[0.32112345761982364, 0.5600083970128403]"
Georgia Southern,0.35897435897435903,0.5645933014354068,0.4857142857142858,0.5862068965517241,0.4625000000000001,0.3333333333333333,0.6495956873315364,0.4139534883720931,0.9821428571428572,0.8571428571428573,0.4303797468354431,0.19047619047619052,1,-1,-1,2.88160315,54,,57,0,"[0.04836665381981138, 0.779632725414021]","[0.5288263236263889, 0.5238741150209246]"
Oklahoma,0.3626373626373626,0.4114832535885166,0.0571428571428572,0.379310344827586,0.3812500000000001,0.3333333333333333,0.6819407008086252,0.31627906976744186,0.857142857142857,0.7142857142857145,0.5189873417721518,0.523809523809524,0,-1,-1,1.95212861,107,,107,0,"[0.6040580613744102, 0.1688829807567687]","[0.27549315390162094, 0.6280094468346035]"
UTSA,0.3626373626373626,0.4736842105263159,0.22857142857142865,0.4137931034482759,0.3500000000000001,0.375,0.1617250673854448,0.4372093023255815,0.3571428571428571,0.261904761904762,0.15189873417721508,0.523809523809524,0,0,-1,2.20718952,97,,91,0,"[0.1066756891355676, 0.3527432762393535]","[0.3783692824385551, 0.07214066113368713]"
Louisiana,0.3663003663003663,0.827751196172249,0.3714285714285714,0.6551724137931035,0.33125000000000004,0.25,0.4959568733153638,0.7767441860465116,0.7321428571428572,0.5952380952380955,0.4746835443037974,0.19047619047619052,1,1,-1,3.00845548,47,,56,0,"[0.8583967226911648, 0.5806514074998687]","[0.5649966649168329, 0.36021891208274553]"
Louisiana-Monroe,0.3772893772893773,0.5023923444976078,0.42857142857142855,0.4482758620689654,0.29375,0.25,0.24258760107816715,0.5720930232558139,0.17857142857142852,0.30952380952380965,0.2594936708860758,0.33333333333333337,1,-1,-1,2.40657111,85,,87,0,"[0.04480166000331965, 0.3779170527364198]","[0.4552139726822381, 0.05939412611606916]"
Pitt,0.3772893772893773,0.27751196172248804,0.4857142857142858,0.5517241379310343,0.29375,0.16666666666666669,0.5579514824797844,0.6232558139534885,0.7142857142857142,0.6666666666666669,0.5949367088607593,0.3809523809523809,0,0,-1,2.31923054,89,,97,0,"[0.694218418059316, 0.4046903491726063]","[0.36647063283056086, 0.5060129932070714]"
Nebraska,0.3809523809523809,0.03827751196172237,0.5428571428571429,0.4827586206896553,0.29375,0.4583333333333333,0.719676549865229,0.2465116279069767,0.7142857142857142,0.6666666666666669,0.5063291139240506,0.5714285714285715,0,0,-1,2.21555546,96,,93,0,"[0.600772206157685, 0.2486683307651756]","[0.336419346819681, 0.7997002797605669]"
South Alabama,0.3809523809523809,0.3971291866028708,0.4857142857142858,0.5517241379310343,0.4000000000000001,0.375,0.3072776280323449,0.2465116279069767,0.5357142857142857,0.4285714285714287,0.4177215189873416,0.7142857142857145,1,-1,-1,2.60006967,72,,70,0,"[0.2002064227387497, 0.478028833806444]","[0.4674100686840188, 0.5094112433665469]"
Wake Forest,0.3809523809523809,0.6172248803827753,0.4571428571428573,0.4137931034482759,0.3187500000000001,0.375,0.09973045822102428,0.5023255813953489,0.0,0.0,0.0,0.523809523809524,1,-1,-1,2.60347912,71,,73,0,"[0.0, 0.3855371659710428]","[0.5248892612920267, 0.02788698595320995]"
Auburn,0.39194139194139205,0.4784688995215313,0.4857142857142858,0.5862068965517241,0.4937500000000001,0.5833333333333333,0.6576819407008085,0.7023255813953492,0.75,0.7857142857142859,0.6265822784810126,0.3809523809523809,1,1,-1,3.0817434,44,,44,0,"[0.7551259873398283, 0.5211291899590406]","[0.5465681907640145, 0.537704196301171]"
